Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season,Lon,Lat
2,Kyle Mackey,SR,D,"Derby, New York",Air Force,derby new york,"Air Force: 02 Kyle Mackey - Derby, New York (SR-D)",20172018,-78.97972709999999,42.6864471
4,Phil Boje,SR,D,"Shoreview, Minnesota",Air Force,shoreview minnesota,"Air Force: 04 Phil Boje - Shoreview, Minnesota (SR-D)",20172018,-93.14716670000001,45.0791325
9,Trevor Stone,SO,F,"Pleasant Plains, Illinois",Air Force,pleasant plains illinois,"Air Force: 09 Trevor Stone - Pleasant Plains, Illinois (SO-F)",20172018,-89.9212211,39.8728269
14,Ben Kucera,SR,F,"Leawood, Kansas",Air Force,leawood kansas,"Air Force: 14 Ben Kucera - Leawood, Kansas (SR-F)",20172018,-94.6169012,38.966673
15,Evan Giesler,JR,F,"Naperville, Illinois",Air Force,naperville illinois,"Air Force: 15 Evan Giesler - Naperville, Illinois (JR-F)",20172018,-88.1535352,41.7508391
17,Joe Tyran,SO,D,"Wadsworth, Illinois",Air Force,wadsworth illinois,"Air Force: 17 Joe Tyran - Wadsworth, Illinois (SO-D)",20172018,-87.92396509999999,42.4286321
18,Evan Feno,JR,F,"Morrison, Colorado",Air Force,morrison colorado,"Air Force: 18 Evan Feno - Morrison, Colorado (JR-F)",20172018,-105.1910996,39.6535988
19,Issac Theisen,FR,F,"Monroe, Michigan",Air Force,monroe michigan,"Air Force: 19 Issac Theisen - Monroe, Michigan (FR-F)",20172018,-83.3977101,41.9164343
21,Matt Pulver,SO,F,"Chippewa Falls, Wisconsin",Air Force,chippewa falls wisconsin,"Air Force: 21 Matt Pulver - Chippewa Falls, Wisconsin (SO-F)",20172018,-91.39293479999999,44.9369054
22,Pierce Pluemer,SO,F,"Phillips, Wisconsin",Air Force,phillips wisconsin,"Air Force: 22 Pierce Pluemer - Phillips, Wisconsin (SO-F)",20172018,-90.4004296,45.6966257
23,Dylan Abood,SR,D,"Centennial, Colorado",Air Force,centennial colorado,"Air Force: 23 Dylan Abood - Centennial, Colorado (SR-D)",20172018,-104.8771726,39.5807452
25,Alex Falconer,FR,F,"Kohler, Wisconsin",Air Force,kohler wisconsin,"Air Force: 25 Alex Falconer - Kohler, Wisconsin (FR-F)",20172018,-87.7817541,43.7391616
26,Erich Jaeger,SO,F,"Couer d'Alena, Idaho",Air Force,couer dalena idaho,"Air Force: 26 Erich Jaeger - Couer d'Alena, Idaho (SO-F)",20172018,-116.7804664,47.6776832
27,Erik Baskin,SR,F,"Minnetonka, Minnesota",Air Force,minnetonka minnesota,"Air Force: 27 Erik Baskin - Minnetonka, Minnesota (SR-F)",20172018,-93.4687489,44.9211836
30,Erik Anderson,FR,G,"Chanhassen, Minnesota",Air Force,chanhassen minnesota,"Air Force: 30 Erik Anderson - Chanhassen, Minnesota (FR-G)",20172018,-93.53231029999999,44.86196450000001
31,Zack LaRocque,FR,G,"Arvada, Colorado",Air Force,arvada colorado,"Air Force: 31 Zack LaRocque - Arvada, Colorado (FR-G)",20172018,-105.0874842,39.8027644
38,Will Ulrich,FR,G,"Birmingham, Michigan",Air Force,birmingham michigan,"Air Force: 38 Will Ulrich - Birmingham, Michigan (FR-G)",20172018,-83.21131919999999,42.5467012
42,Walker Sommer,FR,F,"Avon, Ohio",Air Force,avon ohio,"Air Force: 42 Walker Sommer - Avon, Ohio (FR-F)",20172018,-82.03542250000001,41.4517093
44,Billy Christopoulos,JR,G,"Raleigh, North Carolina",Air Force,raleigh north carolina,"Air Force: 44 Billy Christopoulos - Raleigh, North Carolina (JR-G)",20172018,-78.6381787,35.7795897
52,Jonathan Kopacka,SR,D,"Lapeer, Michigan",Air Force,lapeer michigan,"Air Force: 52 Jonathan Kopacka - Lapeer, Michigan (SR-D)",20172018,-83.31883409999999,43.0514161
74,Zack Mirageas,FR,D,"Newburyport, Massachusetts",Air Force,newburyport massachusetts,"Air Force: 74 Zack Mirageas - Newburyport, Massachusetts (FR-D)",20172018,-70.87727509999999,42.8125913
2,Cam Knight,JR,D,"North Reading, Massachusetts",Alabama-Huntsville,north reading massachusetts,"Alabama-Huntsville: 02 Cam Knight - North Reading, Massachusetts (JR-D)",20172018,-71.0786653,42.5750939
4,Connor James,SO,D,"Wainwright, Alberta",Alabama-Huntsville,wainwright alberta,"Alabama-Huntsville: 04 Connor James - Wainwright, Alberta (SO-D)",20172018,-110.8504696,52.83307
5,Cody Champagne,SR,D,"Brookfield, Connecticut",Alabama-Huntsville,brookfield connecticut,"Alabama-Huntsville: 05 Cody Champagne - Brookfield, Connecticut (SR-D)",20172018,-73.4095652,41.4825947
6,Sean Rappleyea,SO,D,"Sayreville, New Jersey",Alabama-Huntsville,sayreville new jersey,"Alabama-Huntsville: 06 Sean Rappleyea - Sayreville, New Jersey (SO-D)",20172018,-74.360846,40.45940210000001
7,Max McHugh,SR,F,"Seattle, Washington",Alabama-Huntsville,seattle washington,"Alabama-Huntsville: 07 Max McHugh - Seattle, Washington (SR-F)",20172018,-122.3320708,47.6062095
8,John Teets,JR,D,"Fairbanks, Alaska",Alabama-Huntsville,fairbanks alaska,"Alabama-Huntsville: 08 John Teets - Fairbanks, Alaska (JR-D)",20172018,-147.7163888,64.8377778
9,Christian Rajic,FR,F,"Oakville, Ontario",Alabama-Huntsville,oakville ontario,"Alabama-Huntsville: 09 Christian Rajic - Oakville, Ontario (FR-F)",20172018,-79.6876659,43.467517
10,Andrew Dodson,FR,F,"Milton, Ontario",Alabama-Huntsville,milton ontario,"Alabama-Huntsville: 10 Andrew Dodson - Milton, Ontario (FR-F)",20172018,-79.8774042,43.5182991
11,Levi Wunder,FR,F,"Escanaba, Michigan",Alabama-Huntsville,escanaba michigan,"Alabama-Huntsville: 11 Levi Wunder - Escanaba, Michigan (FR-F)",20172018,-87.06458010000001,45.74524659999999
12,Connor Merkley,FR,F,"Portland, Ontario",Alabama-Huntsville,portland ontario,"Alabama-Huntsville: 12 Connor Merkley - Portland, Ontario (FR-F)",20172018,-76.19294699999999,44.695047
14,Madison Dunn,JR,F,"Calgary, Alberta",Alabama-Huntsville,calgary alberta,"Alabama-Huntsville: 14 Madison Dunn - Calgary, Alberta (JR-F)",20172018,-114.0708459,51.0486151
15,Hans Gorowsky,JR,F,"Lino Lakes, Minnesota",Alabama-Huntsville,lino lakes minnesota,"Alabama-Huntsville: 15 Hans Gorowsky - Lino Lakes, Minnesota (JR-F)",20172018,-93.0888324,45.1602442
16,Connor Wood,FR,F,"Buford, Georgia",Alabama-Huntsville,buford georgia,"Alabama-Huntsville: 16 Connor Wood - Buford, Georgia (FR-F)",20172018,-84.0043513,34.1206564
18,Austin Beaulieu,SO,F,"Coral Springs, Florida",Alabama-Huntsville,coral springs florida,"Alabama-Huntsville: 18 Austin Beaulieu - Coral Springs, Florida (SO-F)",20172018,-80.2706044,26.271192
19,Brandon Salerno,SO,F,"Toronto, Ontario",Alabama-Huntsville,toronto ontario,"Alabama-Huntsville: 19 Brandon Salerno - Toronto, Ontario (SO-F)",20172018,-79.3831843,43.653226
20,Brandon Parker,SR,D,"Faribault, Minnesota",Alabama-Huntsville,faribault minnesota,"Alabama-Huntsville: 20 Brandon Parker - Faribault, Minnesota (SR-D)",20172018,-93.268827,44.2949636
21,Tyler Poulsen,JR,F,"Arvada, Colorado",Alabama-Huntsville,arvada colorado,"Alabama-Huntsville: 21 Tyler Poulsen - Arvada, Colorado (JR-F)",20172018,-105.0874842,39.8027644
22,Jordan Larson,SO,F,"Fort Frances, Ontario",Alabama-Huntsville,fort frances ontario,"Alabama-Huntsville: 22 Jordan Larson - Fort Frances, Ontario (SO-F)",20172018,-93.3955282,48.6099494
24,Brennan Saulnier,SR,F,"Halifax, Nova Scotia",Alabama-Huntsville,halifax nova scotia,"Alabama-Huntsville: 24 Brennan Saulnier - Halifax, Nova Scotia (SR-F)",20172018,-63.5752387,44.64876350000001
25,Adam Wilcox,JR,F,"Alpharetta, Georgia",Alabama-Huntsville,alpharetta georgia,"Alabama-Huntsville: 25 Adam Wilcox - Alpharetta, Georgia (JR-F)",20172018,-84.2940899,34.0753762
26,Josh Kestner,SR,F,"Huntsville, Alabama",Alabama-Huntsville,huntsville alabama,"Alabama-Huntsville: 26 Josh Kestner - Huntsville, Alabama (SR-F)",20172018,-86.5861037,34.7303688
27,Teddy Rotenberger,FR,D,"Huntsville, Alabama",Alabama-Huntsville,huntsville alabama,"Alabama-Huntsville: 27 Teddy Rotenberger - Huntsville, Alabama (FR-D)",20172018,-86.5861037,34.7303688
28,Kurt Gosselin,JR,D,"Brighton, Michigan",Alabama-Huntsville,brighton michigan,"Alabama-Huntsville: 28 Kurt Gosselin - Brighton, Michigan (JR-D)",20172018,-83.7802214,42.5294773
30,Mark Sinclair,FR,G,"Dundas, Ontario",Alabama-Huntsville,dundas ontario,"Alabama-Huntsville: 30 Mark Sinclair - Dundas, Ontario (FR-G)",20172018,-79.9568685,43.26650890000001
32,Jordan Uhelski,SR,G,"Flint, Michigan",Alabama-Huntsville,flint michigan,"Alabama-Huntsville: 32 Jordan Uhelski - Flint, Michigan (SR-G)",20172018,-83.6874562,43.0125274
33,Richard Buri,SR,D,"Nitra, Slovakia",Alabama-Huntsville,nitra slovakia,"Alabama-Huntsville: 33 Richard Buri - Nitra, Slovakia (SR-D)",20172018,18.076376,48.3061414
35,Josh Astorino,FR,G,"Niagara Falls, Ontario",Alabama-Huntsville,niagara falls ontario,"Alabama-Huntsville: 35 Josh Astorino - Niagara Falls, Ontario (FR-G)",20172018,-79.0849436,43.0895577
1,Niko DellaMaggiore,SO,G,"Gilroy, California",Alaska,gilroy california,"Alaska: 01 Niko DellaMaggiore - Gilroy, California (SO-G)",20172018,-121.5682751,37.0057816
2,Jack Weiss,JR,D,"Bloomington, Minnesota",Alaska,bloomington minnesota,"Alaska: 02 Jack Weiss - Bloomington, Minnesota (JR-D)",20172018,-93.2982799,44.840798
5,Nikolas Koberstein,JR,D,"Barrhead, Alberta",Alaska,barrhead alberta,"Alaska: 05 Nikolas Koberstein - Barrhead, Alberta (JR-D)",20172018,-114.4016742,54.1230722
8,Justin Woods,SR,D,"Fairbanks, Alaska",Alaska,fairbanks alaska,"Alaska: 08 Justin Woods - Fairbanks, Alaska (SR-D)",20172018,-147.7163888,64.8377778
9,Justin Young,FR,RW,"Leduc, Alberta",Alaska,leduc alberta,"Alaska: 09 Justin Young - Leduc, Alberta (FR-RW)",20172018,-113.5502218,53.2580126
10,Danny Kiraly,SO,D,"Glendale, Arizona",Alaska,glendale arizona,"Alaska: 10 Danny Kiraly - Glendale, Arizona (SO-D)",20172018,-112.1859866,33.5386523
11,Steven Jandric,FR,LW,"Prince George, British Columbia",Alaska,prince george british columbia,"Alaska: 11 Steven Jandric - Prince George, British Columbia (FR-LW)",20172018,-122.7496693,53.9170641
